"Participant","Recruitment","Condition","Experiment_StartDate","Experiment_Duration","SimpleRT_start","SimpleRT_end","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Refresh_Rate","Gender","Age","Handedness","Education","Student","Discipline","Ethnicity","Country","Experiment_Enjoyment","Experiment_Feedback","Assessment_Enjoyment_DoggoNogo","Assessment_Enjoyment_Simple","Assessment_Duration_DoggoNogo","Assessment_Duration_Simple","Assessment_Repeat_DoggoNogo","Assessment_Repeat_Simple","RPM_a11_Error","RPM_a24_Error","RPM_a28_Error","RPM_a36_Error","RPM_a43_Error","RPM_a48_Error","RPM_a49_Error","RPM_a53_Error","RPM_a55_Error","RPM_a11_RT","RPM_a24_RT","RPM_a28_RT","RPM_a36_RT","RPM_a43_RT","RPM_a48_RT","RPM_a49_RT","RPM_a53_RT","RPM_a55_RT","Ethnicity-Comment","Education-Comment","Discipline-Comment","Gender-Comment","DoggoNogo_ID","DoggoNogo_Study","DoggoNogo_Start","DoggoNogo_End","DoggoNogo_Level1_N","DoggoNogo_L1_Start","DoggoNogo_L1_End"
"S120","SONA","DoggoFirst",2024-12-02 13:31:30,24.29535,874550,1400631,"chrome 131.0.0","false","Windows 10",1280,585,60.92,"Female","19","Right-handed","High school","TRUE",NA,"White","United Kingdom",3,NA,5,1,10,7,1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eE1te9K02122024","DoggoNogoValidation","2024-12-02 13:33:51","2024-12-02 13:44:55","150","2024-12-02 13:34:01","2024-12-02 13:44:55"
"S119","SONA","SimpleFirst",2024-12-02 12:50:59,21.8445166666667,86970,685183,"chrome 130.0.0","false","Mac OS",1440,778,61.37,"Male","21","Right-handed","High school","TRUE",NA,"White","United Kingdom",1,NA,0,0,10,10,-4,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eO6Zkd202122024","DoggoNogoValidation","2024-12-02 13:03:41","2024-12-02 13:12:06","150","2024-12-02 13:03:53","2024-12-02 13:12:05"
"S134","SONA","SimpleFirst",2024-12-03 23:04:06,21.4074833333333,48300,687369,"chrome 131.0.0","false","Windows 10",1536,730,146.48,"Male","19","Right-handed","High school","TRUE",NA,"Black","United Kingdom",0,"Interesting study. However, was frustrating when i would click so fast that i registered as a double click at times.",2,0,10,10,-2,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hZy5ET303122024","DoggoNogoValidation","2024-12-03 23:16:36","2024-12-03 23:24:25","150","2024-12-03 23:16:46","2024-12-03 23:24:25"
"S252","SONA","SimpleFirst",2025-04-07 13:53:46,33.7977833333333,67925,1363736,"edge-chromium 135.0.0","false","Windows 10",1235,594,61.8,"Female","22","Right-handed","High school","TRUE",NA,"White","United Kingdom",2,"Just very samey. Felt annoyed and that it was endless when I had to look out for the red boxes",3,0,20,40,-1,-2,0,0,1,0,0,0,0,1,0,13.697,26.679,6.751,0.12,25.26,5.778,6.16,6.309,19.095,NA,NA,NA,NA,"Wchmo9F07042025","DoggoNogoValidation","2025-04-07 14:19:36","2025-04-07 14:26:30","150","2025-04-07 14:19:46","2025-04-07 14:26:30"
"S049","SONA","DoggoFirst",2024-11-24 13:05:41,19.4279666666667,650452,1138675,"chrome 130.0.0","false","Windows 10",1187,599,61.17,"Female","19","Right-handed","High school","TRUE",NA,"White","United Kingdom",2,NA,2,0,4,5,-3,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hljWwu424112024","DoggoNogoValidation","2024-11-24 13:07:24","2024-11-24 13:15:45","150","2024-11-24 13:07:39","2024-11-24 13:15:45"
"S129","SONA","DoggoFirst",2024-12-03 08:50:23,20.7083833333333,701054,1210786,"chrome 131.0.0","false","Windows 10",1536,889,61.64,"Male","19","Left-handed","High school","TRUE",NA,"Mixed","United Kingdom",3,NA,6,2,7,5,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15WNVp03122024","DoggoNogoValidation","2024-12-03 08:52:38","2024-12-03 09:01:18","150","2024-12-03 08:52:48","2024-12-03 09:01:18"
"S068","SONA","SimpleFirst",2024-11-25 18:03:01,25.78925,319724,846493,"chrome 131.0.0","false","Mac OS",1440,778,61.53,"Female","20","Right-handed","High school","FALSE",NA,"White","United Kingdom",2,NA,4,1,10,5,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kRLPvpn25112024","DoggoNogoValidation","2024-11-25 18:18:19","2024-11-25 18:28:04","150","2024-11-25 18:18:29","2024-11-25 18:28:04"
"S274","SONA","SimpleFirst",2025-04-09 21:27:18,26.7142,128130,653956,"opera 117.0.0","false","Windows 10",1226,586,60.98,"Female","19","Right-handed","High school","TRUE",NA,"White","United Kingdom",3,NA,6,4,7,5.5,1,2,0,0,1,0,0,0,0,0,0,8.609,7.936,10.641,12.411,16.294,11.841,17.671,10.079,13.908,NA,NA,NA,NA,"Zrb8rZk09042025","DoggoNogoValidation","2025-04-09 21:45:00","2025-04-09 21:53:23","150","2025-04-09 21:45:10","2025-04-09 21:53:23"
"S254","SONA","SimpleFirst",2025-04-07 14:57:13,26.4987833333333,83079,629395,"safari 17.6.0","false","Mac OS",1470,840,60.54,"Female","19","Right-handed","High school","TRUE",NA,"White","United Kingdom",3,NA,3,4,20,10,-2,1,0,1,1,1,1,0,1,1,0,27.527,21.964,18.423,28.444,15.944,25.916,11.852,12.757,28.145,NA,NA,NA,NA,"H0ZDZOx07042025","DoggoNogoValidation","2025-04-07 15:13:30","2025-04-07 15:23:07","150","2025-04-07 15:13:51","2025-04-07 15:23:07"
"S174","SONA","DoggoFirst",2025-03-12 18:14:27,20.536,789808,1215339,"safari 18.1.1","false","Mac OS",1371,706,60.54,"Male","18","Right-handed","High school","TRUE",NA,"White","United Kingdom",2,NA,4,1,8,5,-1,-3,1,1,1,0,0,0,0,0,0,9.939,11.1,23.199,17.669,16.672,11.153,5.167,3.685,5.97,NA,NA,NA,NA,"9b6Pluc12032025","DoggoNogoValidation","2025-03-12 18:15:56","2025-03-12 18:24:21","150","2025-03-12 18:16:07","2025-03-12 18:24:21"
"S127","SONA","SimpleFirst",2024-12-03 02:16:38,19.7519666666667,30458,575460,"firefox 132.0.0","false","Windows 10",1280,587,61.1,"Male","19","Right-handed","High school","TRUE",NA,"White","United Kingdom",2,NA,3,1,6,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FtHQtNO03122024","DoggoNogoValidation","2024-12-03 02:27:40","2024-12-03 02:35:28","150","2024-12-03 02:27:50","2024-12-03 02:35:28"
